K00038	Upratovacie pomôcky
K00042	Papierový program
K00043	Čistiace prostriedky
K00058	Obalový materiál a vrecia
K00059	Pracie prostriedky
K00060	Osobná hygiena a kozmetika
K00062	Ostatné
K00063	Upratovacie pomôcky > Hubky, drôtenky a špongie
K00064	Upratovacie pomôcky > Metly, kefy a lopatky
K00066	Upratovacie pomôcky > Rukavice
K00068	Upratovacie pomôcky > Utierky, handry a mikrovlákno
K00069	Upratovacie pomôcky > Vedrá, žmýkače a vozíky
K00070	Upratovacie pomôcky > Mopy a príslušenstvo
K00071	Upratovacie pomôcky > Metly, kefy a lopatky
K00072	Čistiace prostriedky > WC, kúpeľňa a sanita
K00073	Upratovacie pomôcky > Zásobníky, dávkovače a značenie
K00074	Upratovacie pomôcky > Utierky, handry a mikrovlákno
K00075	Upratovacie pomôcky > Stierky, škrabky a sťahovače
K00078	Papierový program > Papierové utierky a obrúsky
K00079	Papierový program > Toaletný papier
K00080	Papierový program > Papierové utierky a obrúsky
K00081	Papierový program > Papierové utierky a obrúsky
K00088	Čistiace prostriedky > Dezinfekcia a bielidlá
K00093	Čistiace prostriedky > WC, kúpeľňa a sanita
K00095	Čistiace prostriedky > Čističe okien, skiel a nábytku
K00101	Obalový materiál a vrecia > Vrecia a sáčky
K00103	Papierový program > Potravinová fólia a papier na pečenie
K00107	Pracie prostriedky > Pracie prášky a gély
K00110	Pracie prostriedky > Doplnky do prania
K00129	Upratovacie pomôcky > Metly, kefy a lopatky
K00135	Upratovacie pomôcky > Utierky, handry a mikrovlákno
K00137	Čistiace prostriedky > Čističe podláh
K00138	Upratovacie pomôcky > Mopy a príslušenstvo
K00140	Čistiace prostriedky > WC, kúpeľňa a sanita
K00141	Upratovacie pomôcky > Mopy a príslušenstvo
K00143	Upratovacie pomôcky > Metly, kefy a lopatky
K00145	Upratovacie pomôcky > Mopy a príslušenstvo
K00146	Upratovacie pomôcky > Mopy a príslušenstvo
K00147	Upratovacie pomôcky > Mopy a príslušenstvo
K00148	Upratovacie pomôcky > Mopy a príslušenstvo
K00150	Upratovacie pomôcky > Mopy a príslušenstvo
K00151	Upratovacie pomôcky > Mopy a príslušenstvo
K00152	Upratovacie pomôcky > Mopy a príslušenstvo
