KW_TOALETNY_PAPIER	Papierový program > Toaletný papier
KW_VLHCENE_UTIERKY	Papierový program > Vlhčené utierky
KW_PAPIEROVE_UTIERKY	Papierový program > Papierové utierky a obrúsky
KW_FOLIA	Papierový program > Potravinová fólia a papier na pečenie
KW_MOP	Upratovacie pomôcky > Mopy a príslušenstvo
KW_RUKAVICE	Upratovacie pomôcky > Rukavice
KW_HUBKY	Upratovacie pomôcky > Hubky, drôtenky a špongie
KW_METLY	Upratovacie pomôcky > Metly, kefy a lopatky
KW_VEDRA	Upratovacie pomôcky > Vedrá, žmýkače a vozíky
KW_STIERKY	Upratovacie pomôcky > Stierky, škrabky a sťahovače
KW_ZASOBNIKY	Upratovacie pomôcky > Zásobníky, dávkovače a značenie
KW_UTIERKY_MIKRO	Upratovacie pomôcky > Utierky, handry a mikrovlákno
KW_WC	Čistiace prostriedky > WC, kúpeľňa a sanita
KW_DEZINFEKCIA	Čistiace prostriedky > Dezinfekcia a bielidlá
KW_ODMASTOVACE	Čistiace prostriedky > Odmasťovače a odstraňovače vodného kameňa
KW_OKNA	Čistiace prostriedky > Čističe okien, skiel a nábytku
KW_PODLAHY	Čistiace prostriedky > Čističe podláh
KW_ABRAZIVA	Čistiace prostriedky > Abrazívne čističe a pasty
KW_OSVIEZOVACE	Čistiace prostriedky > Osviežovače vzduchu
KW_HMYZ	Čistiace prostriedky > Prípravky proti hmyzu a hlodavcom
KW_RIAD	Čistiace prostriedky > Kuchynská chémia a odpady
KW_UNIVERZALNE	Čistiace prostriedky > Univerzálne čističe
KW_PRACIE	Pracie prostriedky > Pracie prášky a gély
KW_AVIVAZ	Pracie prostriedky > Doplnky do prania
KW_MENUBOX	Obalový materiál a vrecia > Menu boxy a jednorazové obaly
KW_VRECIA	Obalový materiál a vrecia > Vrecia a sáčky
KW_DEZODORANT	Osobná hygiena a kozmetika > Dezodoranty
KW_VLASY	Osobná hygiena a kozmetika > Starostlivosť o vlasy
KW_ZUBNA	Osobná hygiena a kozmetika > Ústna hygiena
KW_HOLENIE	Osobná hygiena a kozmetika > Pánska kozmetika a holenie
KW_MYDLO	Osobná hygiena a kozmetika > Mydlá
KW_TELO	Osobná hygiena a kozmetika > Starostlivosť o telo
KW_DAMSKA_HYGIENA	Osobná hygiena a kozmetika > Dámska hygiena
KW_PLET	Osobná hygiena a kozmetika > Tvár a pleť
KW_OSTATNE	Ostatné
WAREHOUSE_NAME	Predvolený sklad
